127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.042000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-04-26 18:22:33, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.004000
